"_time",Image,CommandLine,ParentImage
"2026-05-18T13:08:57.320+0400","C:\Windows\System32\ctfmon.exe","/QuitInfo:00000000000001D8;000000000000020C;","C:\Windows\System32\svchost.exe"
"2026-05-18T13:08:57.318+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.317+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.316+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.309+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.301+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.298+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceHttp -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.293+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.293+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.287+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.287+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p -s SENS","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.286+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.286+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.285+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.282+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.281+0400","C:\Windows\System32\dxgiadaptercache.exe","""C:\Windows\system32\dxgiadaptercache.exe""","C:\Windows\System32\svchost.exe"
"2026-05-18T13:08:57.280+0400","C:\Windows\System32\VBoxService.exe","C:\Windows\System32\VBoxService.exe","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.279+0400","C:\Windows\System32\taskhostw.exe","taskhostw.exe ExploitGuardPolicy","C:\Windows\System32\svchost.exe"
"2026-05-18T13:08:57.276+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s PrintDeviceConfigurationService","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.273+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.272+0400","C:\Windows\System32\upfc.exe","C:\Windows\System32\Upfc.exe /launchtype boot /cv /DMU715BJUuzUs7KI7xd4g.0","C:\Windows\System32\services.exe"
